Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,In stock?,Stock,Regular price,Categories,Images,Tax status,Tax class
simple,TG-1,All We Want to Say,1,0,visible,"""All We Want to Say"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside.","""All We Want to Say"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside. Category: Birthday. Blank envelope included. Sold individually.",1,100,3.95,Greeting Cards > Birthday,"https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/1-bday-all-we-want-to-say-front.webp, https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/1-bday-all-we-want-to-say-inside.webp",taxable,
simple,TG-2,Birthday Cupcake,1,0,visible,"""Birthday Cupcake"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside.","""Birthday Cupcake"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside. Category: Birthday. Blank envelope included. Sold individually.",1,100,3.95,Greeting Cards > Birthday,"https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/2-bday-cupcake-front.webp, https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/2-bday-cupcake-inside.webp",taxable,
simple,TG-6,Birthday Girl,1,0,visible,"""Birthday Girl"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside.","""Birthday Girl"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside. Category: Birthday. Blank envelope included. Sold individually.",1,100,3.95,Greeting Cards > Birthday,"https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/6-bday-girl-ruler-front.webp, https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/6-bday-girl-ruler-inside.webp",taxable,
simple,TG-8,Big Pink Birthday Cake,1,0,visible,"""Big Pink Birthday Cake"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside.","""Big Pink Birthday Cake"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside. Category: Birthday. Blank envelope included. Sold individually.",1,100,3.95,Greeting Cards > Birthday,"https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/8-bday-big-pink-cake-front.webp, https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/8-bday-big-pink-cake-inside.webp",taxable,
simple,TG-9,Birthday Ladybug,1,0,visible,"""Birthday Ladybug"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside.","""Birthday Ladybug"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside. Category: Birthday. Blank envelope included. Sold individually.",1,100,3.95,Greeting Cards > Birthday,"https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/9-bday-ladybug-front.webp, https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/9-bday-ladybug-inside.webp",taxable,
simple,TG-10,Birthday Mailbox,1,0,visible,"""Birthday Mailbox"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside.","""Birthday Mailbox"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside. Category: Birthday. Blank envelope included. Sold individually.",1,100,3.95,Greeting Cards > Birthday,"https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/10-bday-mailbox-front.webp, https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/10-bday-mailbox-inside.webp",taxable,
simple,TG-11,Think of You All Year,1,0,visible,"""Think of You All Year"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside.","""Think of You All Year"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside. Category: Birthday. Blank envelope included. Sold individually.",1,100,3.95,Greeting Cards > Birthday,"https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/11-bday-think-of-you-all-year-front.webp, https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/11-bday-think-of-you-all-year-inside.webp",taxable,
simple,TG-13,Click of a Button,1,0,visible,"""Click of a Button"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside.","""Click of a Button"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside. Category: Thank You. Blank envelope included. Sold individually.",1,100,3.95,Greeting Cards > Thank You,"https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/13-thank-you-click-of-a-button-front.webp, https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/13-thank-you-click-of-a-button-inside.webp",taxable,
simple,TG-14,"Thank You, 9 to 5",1,0,visible,"""Thank You, 9 to 5"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside.","""Thank You, 9 to 5"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside. Category: Thank You. Blank envelope included. Sold individually.",1,100,3.95,Greeting Cards > Thank You,"https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/14-thank-you-9-to-5-front.webp, https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/14-thank-you-9-to-5-inside.webp",taxable,
simple,TG-15,Keep On Going,1,0,visible,"""Keep On Going"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside.","""Keep On Going"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside. Category: Encouragement. Blank envelope included. Sold individually.",1,100,3.95,Greeting Cards > Encouragement,"https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/15-keep-on-going-front.webp, https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/15-keep-on-going-inside.webp",taxable,
